income;sex;mar-stat;age;edu;occup;yrs-BA;mar-dlinc;num-hsld;children;hsld-stat;typ-home;ethnic;lang
$75,000 or more;Female;Married;45 thru 54;1 to 3 years of college;Homemaker;More than ten years;No;Three;None;Own;House;White;NA
$75,000 or more;Male;Married;45 thru 54;College graduate;Homemaker;More than ten years;No;Five;Two;Own;House;White;English
$75,000 or more;Female;Married;25 thru 34;College graduate;Professional/Managerial;More than ten years;Yes;Three;One;Rent;Apartment;White;English
Less than $10,000;Female;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;More than ten years;Not Married;Four;Two;Live with Parents/Family;House;White;English
Less than $10,000;Female;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;Four to six years;Not Married;Four;Two;Live with Parents/Family;House;White;English
$50,000 to $74,999;Male;Married;55 thru 64;1 to 3 years of college;Retired;More than ten years;No;Two;None;Own;House;White;English
Less than $10,000;Male;Single, never married;18 thru 24;Graduated high school;Unemployed;Seven to ten years;Not Married;Three;One;Rent;Apartment;White;English
$30,000 to $39,999;Male;Divorced or separated;25 thru 34;1 to 3 years of college;Factory Worker/Laborer/Driver;More than ten years;Not Married;One;None;Rent;Apartment;White;English
$10,000 to $14,999;Male;Married;55 thru 64;Graduated high school;Retired;More than ten years;No;Three;None;Rent;Apartment;White;English
$20,000 to $24,999;Male;Married;65 and Over;1 to 3 years of college;Retired;Seven to ten years;No;Two;None;Rent;Apartment;White;English
Less than $10,000;Male;Single, never married;18 thru 24;1 to 3 years of college;Unemployed;More than ten years;Not Married;One;None;Rent;Apartment;White;English
$20,000 to $24,999;Female;Living together, not married;18 thru 24;Graduated high school;Sales Worker;More than ten years;Not Married;Two;None;Own;House;Hispanic;English
$50,000 to $74,999;Female;Married;25 thru 34;Grad Study;Student, HS or College;One to three years;Yes;Four;Two;Own;House;White;English
$40,000 to $49,999;Female;Married;45 thru 54;Graduated high school;Homemaker;More than ten years;No;Four;None;Rent;House;White;English
$20,000 to $24,999;Male;Widowed;55 thru 64;Graduated high school;NA;More than ten years;Not Married;One;None;Own;House;White;NA
$40,000 to $49,999;Female;Married;45 thru 54;1 to 3 years of college;Professional/Managerial;More than ten years;Yes;Two;Two;Own;House;White;English
Less than $10,000;Female;Divorced or separated;25 thru 34;Graduated high school;Sales Worker;One to three years;Not Married;Two;One;Rent;Apartment;White;English
$75,000 or more;Female;Married;45 thru 54;College graduate;Professional/Managerial;More than ten years;Yes;Two;None;Own;House;White;NA
$50,000 to $74,999;Female;Married;45 thru 54;Graduated high school;Homemaker;Less than one year;No;Two;None;Rent;Apartment;White;English
$75,000 or more;Male;Single, never married;14 thru 17;Grades 9 to 11;Unemployed;NA;Not Married;Four;Two;Live with Parents/Family;House;White;English
$10,000 to $14,999;Male;Divorced or separated;35 thru 44;Grades 9 to 11;Factory Worker/Laborer/Driver;Seven to ten years;Not Married;Two;None;Rent;Apartment;White;English
$75,000 or more;Female;Married;35 thru 44;1 to 3 years of college;Sales Worker;More than ten years;No;Five;Three;Own;House;Hispanic;Spanish
$50,000 to $74,999;Male;Married;35 thru 44;1 to 3 years of college;Professional/Managerial;More than ten years;No;Five;Three;Own;House;White;English
$20,000 to $24,999;Female;Divorced or separated;45 thru 54;1 to 3 years of college;Sales Worker;Four to six years;Not Married;Three;None;Rent;Other;White;English
Less than $10,000;Female;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;More than ten years;Not Married;Four;One;Live with Parents/Family;House;White;English
$75,000 or more;Male;Married;25 thru 34;College graduate;Professional/Managerial;More than ten years;Yes;Three;One;Rent;Apartment;White;English
$40,000 to $49,999;Male;Married;35 thru 44;1 to 3 years of college;Professional/Managerial;More than ten years;Yes;Three;None;Own;House;White;English
$75,000 or more;Male;Married;35 thru 44;1 to 3 years of college;Professional/Managerial;More than ten years;Yes;Three;One;Own;House;White;English
$30,000 to $39,999;Male;Married;35 thru 44;Grad Study;Professional/Managerial;NA;Yes;Three;One;Own;House;White;English
$20,000 to $24,999;Female;Divorced or separated;65 and Over;Graduated high school;Retired;More than ten years;Not Married;One;None;Own;Other;White;English
$30,000 to $39,999;Female;Divorced or separated;35 thru 44;College graduate;Professional/Managerial;Seven to ten years;Not Married;Five;Three;Own;House;White;English
$50,000 to $74,999;Female;Married;35 thru 44;1 to 3 years of college;Professional/Managerial;Seven to ten years;Yes;Four;Two;Rent;House;White;English
Less than $10,000;Female;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;More than ten years;Not Married;Four;Two;Live with Parents/Family;House;White;English
Less than $10,000;Female;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;More than ten years;Not Married;Three;One;Live with Parents/Family;House;White;English
Less than $10,000;Male;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;More than ten years;Not Married;Six;Four;Live with Parents/Family;House;White;English
$50,000 to $74,999;Female;Married;35 thru 44;1 to 3 years of college;Homemaker;NA;No;Six;Four;Own;House;White;English
$10,000 to $14,999;Female;Married;65 and Over;Graduated high school;Homemaker;More than ten years;No;Two;None;Own;House;White;English
$50,000 to $74,999;Female;Married;35 thru 44;Graduated high school;Homemaker;Less than one year;No;Three;One;Own;House;White;English
$75,000 or more;Male;Married;45 thru 54;Grad Study;Professional/Managerial;More than ten years;Yes;Four;None;Own;House;White;English
$25,000 to $29,999;Female;Divorced or separated;35 thru 44;College graduate;Professional/Managerial;Four to six years;Not Married;Two;One;Rent;Apartment;Asian;Other
$10,000 to $14,999;Female;Widowed;55 thru 64;Grad Study;Professional/Managerial;Less than one year;Not Married;One;None;Rent;Apartment;White;English
Less than $10,000;Male;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;More than ten years;Not Married;Five;Two;Live with Parents/Family;House;White;English
$50,000 to $74,999;Female;Married;35 thru 44;1 to 3 years of college;Professional/Managerial;More than ten years;Yes;Five;Three;Own;House;White;English
$50,000 to $74,999;Female;Married;45 thru 54;1 to 3 years of college;Homemaker;More than ten years;No;Three;None;Own;House;White;English
$10,000 to $14,999;Female;Single, never married;18 thru 24;Grades 9 to 11;Student, HS or College;One to three years;Not Married;Three;None;Live with Parents/Family;House;Black;English
$30,000 to $39,999;Female;Married;55 thru 64;1 to 3 years of college;Sales Worker;More than ten years;Yes;Four;Two;Rent;House;White;English
$50,000 to $74,999;Female;Married;45 thru 54;1 to 3 years of college;Homemaker;More than ten years;No;Three;None;Own;House;White;English
$30,000 to $39,999;Female;Married;55 thru 64;Graduated high school;Homemaker;NA;No;Two;None;Own;House;White;English
$50,000 to $74,999;Female;Married;35 thru 44;Graduated high school;Homemaker;Four to six years;No;Six;Four;Own;House;White;NA
$30,000 to $39,999;Female;Married;25 thru 34;Graduated high school;Homemaker;More than ten years;No;Five;Three;Own;House;Hispanic;English
$20,000 to $24,999;Female;Single, never married;14 thru 17;Grades 9 to 11;Sales Worker;More than ten years;Not Married;Three;One;Live with Parents/Family;Condominium;White;English
$40,000 to $49,999;Male;Divorced or separated;45 thru 54;1 to 3 years of college;Professional/Managerial;More than ten years;Not Married;One;None;Rent;Condominium;White;English
Less than $10,000;Male;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;NA;Not Married;Five;Three;Live with Parents/Family;House;White;English
$75,000 or more;Female;Married;45 thru 54;Grad Study;Homemaker;More than ten years;No;Two;None;Own;House;White;NA
$15,000 to $19,999;Male;Married;14 thru 17;College graduate;Retired;More than ten years;Yes;Three;None;Rent;House;Black;Spanish
Less than $10,000;Male;Single, never married;14 thru 17;Grade 8 or less;Factory Worker/Laborer/Driver;More than ten years;Not Married;NA;None;Live with Parents/Family;House;White;English
Less than $10,000;Male;Single, never married;14 thru 17;Grade 8 or less;Student, HS or College;More than ten years;Not Married;Four;Two;Live with Parents/Family;House;White;English
$75,000 or more;Female;Married;35 thru 44;1 to 3 years of college;Professional/Managerial;More than ten years;Yes;Two;None;Own;House;White;English
$50,000 to $74,999;Female;Married;55 thru 64;Grad Study;Homemaker;More than ten years;No;Two;None;Own;House;White;English
Less than $10,000;Female;Divorced or separated;45 thru 54;1 to 3 years of college;Professional/Managerial;One to three years;Not Married;One;None;Own;House;White;English
$50,000 to $74,999;Male;Married;25 thru 34;1 to 3 years of college;Factory Worker/Laborer/Driver;More than ten years;Yes;Three;One;Own;House;White;English
$20,000 to $24,999;Male;Divorced or separated;35 thru 44;Graduated high school;Factory Worker/Laborer/Driver;More than ten years;Not Married;One;None;Own;House;Other;English
$50,000 to $74,999;Female;Married;25 thru 34;College graduate;Professional/Managerial;Seven to ten years;Yes;Three;One;Own;Condominium;White;English
$40,000 to $49,999;Male;Married;65 and Over;1 to 3 years of college;Retired;More than ten years;Yes;Four;Two;Own;House;White;English
$15,000 to $19,999;Female;Married;45 thru 54;1 to 3 years of college;Homemaker;NA;Not Married;Four;One;Rent;Apartment;Asian;NA
Less than $10,000;Male;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;More than ten years;Not Married;Five;Three;Live with Parents/Family;House;Hispanic;English
Less than $10,000;Male;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;More than ten years;Not Married;Five;Three;Live with Parents/Family;House;White;English
$40,000 to $49,999;Female;Married;35 thru 44;1 to 3 years of college;Homemaker;Seven to ten years;No;Four;Two;Own;House;Asian;Other
Less than $10,000;Male;Single, never married;14 thru 17;Grade 8 or less;Student, HS or College;More than ten years;Not Married;Three;None;Live with Parents/Family;House;White;English
$75,000 or more;Female;Married;55 thru 64;College graduate;Professional/Managerial;NA;Yes;Two;None;Own;House;White;English
$15,000 to $19,999;Female;Divorced or separated;35 thru 44;Grades 9 to 11;Professional/Managerial;More than ten years;Not Married;Two;None;Live with Parents/Family;House;White;English
$75,000 or more;Female;Married;35 thru 44;1 to 3 years of college;Homemaker;More than ten years;No;Four;Two;Own;House;White;English
$50,000 to $74,999;Female;Married;25 thru 34;1 to 3 years of college;Homemaker;One to three years;No;Four;Two;Own;Condominium;White;English
Less than $10,000;Male;Single, never married;14 thru 17;Grades 9 to 11;Clerical/Service Worker;More than ten years;Not Married;Five;Three;Live with Parents/Family;House;White;English
$30,000 to $39,999;Female;Married;45 thru 54;Graduated high school;Homemaker;NA;No;Three;One;Own;House;White;English
$10,000 to $14,999;Female;Married;55 thru 64;Graduated high school;Retired;NA;No;NA;None;Rent;Apartment;White;Other
$20,000 to $24,999;Female;Single, never married;25 thru 34;College graduate;Professional/Managerial;More than ten years;Not Married;Four;None;Rent;House;Black;Other
$15,000 to $19,999;Female;Married;65 and Over;Graduated high school;Homemaker;NA;No;Two;Two;Own;House;White;English
$50,000 to $74,999;Female;Living together, not married;18 thru 24;College graduate;Professional/Managerial;Seven to ten years;Not Married;Two;None;Rent;Apartment;White;English
$25,000 to $29,999;Male;Married;25 thru 34;College graduate;Student, HS or College;One to three years;No;Three;None;Rent;House;White;English
$30,000 to $39,999;Female;NA;35 thru 44;College graduate;Homemaker;NA;No;Five;Three;Own;House;White;English
$75,000 or more;Male;Married;55 thru 64;College graduate;Professional/Managerial;More than ten years;Yes;Two;None;Own;House;White;English
$10,000 to $14,999;Female;Married;18 thru 24;Grades 9 to 11;Homemaker;Four to six years;No;Four;Two;Rent;Apartment;White;English
$10,000 to $14,999;Female;Living together, not married;35 thru 44;1 to 3 years of college;Factory Worker/Laborer/Driver;NA;Not Married;Two;None;Rent;House;White;English
$75,000 or more;Female;Married;35 thru 44;Grad Study;Homemaker;One to three years;No;Four;One;Own;House;White;English
$20,000 to $24,999;Male;Married;25 thru 34;1 to 3 years of college;Professional/Managerial;Four to six years;Yes;Two;None;Rent;Apartment;Asian;English
$15,000 to $19,999;Male;Single, never married;18 thru 24;1 to 3 years of college;Student, HS or College;Seven to ten years;Not Married;Two;None;Rent;Apartment;White;English
$25,000 to $29,999;Female;Married;18 thru 24;1 to 3 years of college;Sales Worker;More than ten years;Yes;Two;None;Rent;Apartment;White;English
$25,000 to $29,999;Male;Divorced or separated;55 thru 64;Graduated high school;Retired;NA;Not Married;One;None;Own;Condominium;White;English
$75,000 or more;Female;Single, never married;18 thru 24;1 to 3 years of college;Student, HS or College;Four to six years;Not Married;Four;None;Live with Parents/Family;House;White;English
$50,000 to $74,999;Female;Married;55 thru 64;1 to 3 years of college;Clerical/Service Worker;More than ten years;Yes;Two;None;Own;House;White;English
$75,000 or more;Male;Single, never married;18 thru 24;1 to 3 years of college;Student, HS or College;More than ten years;Not Married;Three;None;Live with Parents/Family;House;White;English
