ozone,vh,wind,humidity,temp,ibh,dpg,ibt,vis,doy
3,5710,4,28,40,2693,-25,87,250,3
5,5700,3,37,45,590,-24,128,100,4
5,5760,3,51,54,1450,25,139,60,5
6,5720,4,69,35,1568,15,121,60,6
4,5790,6,19,45,2631,-33,123,100,7
4,5790,3,25,55,554,-28,182,250,8
6,5700,3,73,41,2083,23,114,120,9
7,5700,3,59,44,2654,-2,91,120,10
4,5770,8,27,54,5000,-19,92,120,11
6,5720,3,44,51,111,9,173,150,12
5,5760,6,33,51,492,-44,181,40,13
4,5780,6,19,54,5000,-44,135,200,14
4,5830,3,19,58,1249,-53,243,250,15
7,5870,2,19,61,5000,-67,186,200,16
5,5840,5,19,64,5000,-40,174,200,17
9,5780,4,59,67,639,1,189,150,18
4,5680,5,73,52,393,-68,210,10,19
3,5720,4,19,54,5000,-66,126,140,20
4,5760,3,19,54,5000,-58,111,250,21
4,5730,4,26,58,5000,-26,111,200,22
5,5700,5,59,69,3044,18,116,150,23
6,5650,5,70,51,3641,23,87,140,24
9,5680,3,64,53,111,-10,153,50,25
6,5820,5,19,59,597,-52,214,70,27
6,5810,5,19,64,1791,-15,182,150,29
11,5790,3,28,63,793,-15,188,120,30
10,5800,2,32,63,531,-38,244,40,31
7,5820,5,19,62,419,-29,243,120,32
12,5770,8,76,63,816,-7,190,6,33
9,5670,3,69,54,3651,62,95,30,34
2,5590,3,76,36,5000,70,33,100,35
3,5410,6,64,31,5000,28,2,200,36
3,5350,7,62,30,1341,18,77,60,37
2,5480,9,72,36,5000,0,37,350,38
3,5600,7,76,42,3799,-18,77,250,39
3,5490,11,72,37,5000,32,34,350,40
4,5560,10,72,41,5000,-1,31,300,41
6,5700,3,32,46,5000,-30,77,300,42
8,5680,5,50,51,5000,-8,75,300,43
6,5700,4,86,55,2398,21,121,200,44
4,5650,5,61,41,5000,51,24,100,45
3,5610,5,62,41,4281,42,52,250,46
7,5730,5,66,49,1161,27,116,200,47
11,5770,5,68,45,2778,2,132,200,48
13,5770,3,82,55,442,26,146,40,49
6,5690,8,21,41,5000,-30,57,300,51
5,5700,3,19,45,5000,-53,66,300,52
4,5730,11,19,51,5000,-43,95,300,53
4,5690,7,19,53,5000,7,95,300,54
6,5640,5,68,50,5000,24,56,300,55
10,5720,6,63,60,1341,19,151,150,56
15,5740,3,54,54,1318,2,181,150,57
