is_test	row.names	y	x.1	x.2	x.3	x.4	x.5	x.6	x.7	x.8	x.9	x.10	x.11	x.12	x.13	x.14	x.15	x.16	x.17	x.18	x.19	x.20	x.21
0	1	2	-1.4854	0.347	1.6592	1.257	1.3945	4.3182	3.9421	4.6309	4.9993	4.2643	3.5845	4.2555	1.546	1.099	0.0588	2.0671	-0.9759	-1.0614	-0.8499	1.0453	-0.6089
0	2	1	-0.9938	1.2748	-1.1977	-0.3464	-0.3442	1.2738	0.1725	0.9997	0.4693	1.3139	2.0045	2.8144	4.8261	5.9428	4.4309	5.2562	3.6981	2.7722	3.4906	0.7623	-0.592
0	3	1	-0.212	-0.5239	-0.6108	2.5555	-0.1607	0.2911	0.7401	-0.3071	0.2145	2.2908	2.6098	4.3555	3.5097	4.2721	6.7883	3.0623	3.3953	1.5929	3.0073	2.7663	-0.7788
0	4	1	-0.4256	-0.836	0.4756	-0.7948	-1.893	-0.0541	-1.8688	1.114	-0.2818	1.9288	2.5252	3.7252	2.3957	4.0405	5.1305	5.2005	2.9713	2.6089	1.0063	1.3321	-0.1967
0	5	2	1.0515	-0.5382	-1.3438	0.9739	0.3659	1.8218	4.8663	3.7976	2.3723	3.597	5.5328	4.6134	2.5792	2.9855	2.8388	0.1155	-1.3772	-1.5039	2.0517	0.2095	-1.7289
0	6	1	1.6655	-0.4626	1.4087	-0.3837	-1.0066	1.3017	3.4926	1.6324	1.1325	3.2273	4.1158	2.6358	5.4201	3.0567	2.6197	2.3402	1.7636	0.5697	1.6813	-0.4963	0.2216
0	7	2	-1.5339	0.3419	1.554	0.9826	3.0393	5.1569	4.6961	4.4839	4.1625	4.3442	2.9468	3.1958	1.3165	2.401	1.3313	-1.5205	-1.4197	-0.0416	1.4621	-0.3579	2.0001
0	8	1	2.7039	0.3281	1.4876	0.1735	-0.0208	2.2139	-0.9784	1.0334	0.1252	3.0838	2.8251	5.9261	1.6315	6.4851	5.967	3.3964	4.8149	1.9581	0.9387	-0.3314	1.7556
0	9	1	1.9841	0.2098	0.2435	-0.7207	-0.744	1.336	0.3208	1.9937	2.6071	3.5373	5.4956	5.4089	2.6929	2.1445	1.7781	1.3437	-0.1353	-1.4416	-0.3248	-0.4473	0.5925
0	10	1	0.4469	-0.3704	0.9001	-0.3941	0.5035	-0.6949	0.7005	-2.0232	2.085	4.2825	4.6207	2.9708	4.4809	3.5783	4.7265	3.4801	3.1518	1.231	1.8229	0.3065	0.5524
0	11	1	0.1638	-0.2672	1.5073	0.7131	-0.5258	-1.3722	-1.4163	1.1533	0.9496	0.6052	5.2506	3.8077	4.4731	4.6323	3.6127	4.3189	4.8614	3.9624	2.4786	0.9325	-0.079
